regime,base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
calm_clean,0.2,0.001,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.444074825201823,1.5315866356097951,0.8185948252018229,50.7,3.4,6.61,2.81274,0.007972993410464996,0.25115875203928567,0.01705291734642854
calm_clean,0.15,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.724973396634772,1.7523456149889183,0.8070533966347722,58.94,3.9,7.1,2.9589600000000003,0.007983386944338661,0.23516533232967507,0.01703306646593501
calm_clean,0.2,0.002,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,4.866248799557245,1.1171573543280628,0.6744087995572451,35.56,2.72,4.98,2.09592,0.007990999217855569,0.2855456997898382,0.017109139957967638
calm_clean,0.2,0.001,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,7.309097032568004,1.7220120185748546,0.6566570325680037,70.29,4.27,7.94,3.32622,0.007961731943935825,0.2171086910792556,0.017108691079255577
calm_clean,0.2,0.001,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.539663156697762,1.3879140660327272,0.6210631566977627,57.81,3.83,7.06,2.9593000000000003,0.007987548662211902,0.23421268881828333,0.01710634440914165
calm_clean,0.2,0.0,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.2365514553031,1.6105799404075671,-0.4498885446969003,50.6,5.02,7.92,3.34322,0.007975118327752943,0.25123872033644873,0.017079573445482898
calm_clean,0.2,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,4.954876057404501,1.166860720129599,-0.5114439425954993,35.39,3.73,6.26,2.73316,0.007986879721593754,0.2856046904855008,0.01712093809710017
calm_clean,0.1,0.0,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.759520980972665,2.431562378918056,-0.5488990190273344,159.83,8.87,13.59,5.654210000000001,0.007981862972266695,0.13421491132349309,0.01710745566174655
calm_clean,0.15,0.0,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.023596739424866,2.237626436226957,-0.6822232605751346,81.75,6.35,9.9,4.35291,0.00797890547547247,0.20125796923516465,0.01708598974505489
calm_clean,0.1,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.763160635042922,1.7608375074268259,-0.9527193649570781,96.64,7.26,11.44,4.85794,0.008001268308778058,0.18556231525121392,0.01711246305024278
calm_clean,0.1,0.0,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.180343502733777,2.660202833033188,-0.9784164972662243,135.16,8.46,12.98,5.57938,0.007940465678485454,0.1511220683600323,0.017040689453344103
calm_clean,0.15,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.791279201616699,1.830347861923006,-1.0476607983833015,59.45,5.55,8.6,3.91947,0.007972749220796486,0.23545163904453847,0.0170903278089077
calm_clean,0.2,0.0,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.830020350043544,1.713029474259358,-1.1858196499564557,59.82,6.2,9.36,4.00792,0.007991178895804226,0.2339993904112661,0.016999695205633047
calm_clean,0.15,0.0,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.356568550511204,2.432831710364876,-1.2904114494887964,114.62,7.64,12.19,5.3234900000000005,0.007944256130087783,0.16701823001155794,0.017018230011557983
calm_clean,0.2,0.0,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,7.3123356140265425,1.781732274915385,-1.5709843859734578,70.28,6.68,9.95,4.44166,0.007977555606603097,0.2170649780691889,0.01706497806918887
calm_clean,0.2,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,4.656283053031906,1.7034943864417826,-1.6293169469680935,35.39,4.85,6.91,3.1428000000000003,0.007981186943814812,0.28535107653539443,0.017070215307078897
calm_clean,0.2,0.0,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.001130768741161,2.3325659101087393,-1.694869231258839,83.0,6.8,10.79,4.848,0.007973365275123172,0.19999999999999718,0.017119898165177398
calm_clean,0.15,0.0,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.518949105957716,2.207313176359106,-2.222430894042284,96.41,7.83,11.75,5.37069,0.007983793794476935,0.18412571509921793,0.01706285754960897
calm_clean,0.15,0.0,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.872618009888221,2.6302948514101456,-2.4083219901117783,137.44,9.74,14.25,6.1404700000000005,0.00799763250858921,0.15000000000000283,0.017188475379940834
calm_clean,0.1,0.0,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.611766523015435,2.9326524144218955,-2.548993476984564,188.33,10.35,15.8,6.58038,0.007959485755449443,0.11703973766104342,0.017039737661043396
calm_clean,0.1,0.0,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.869568760128452,3.012709805712321,-3.487071239871548,228.0,10.3,16.69,7.17832,0.007958995432010786,0.09999999999999859,0.01706110031527316
calm_clean,0.05,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.620200273672758,2.7688253851727374,-3.569079726327242,161.74,10.66,15.81,7.094640000000001,0.007963795942748216,0.13543099066526934,0.017086198133053863
calm_clean,0.05,0.0,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.693759237527326,3.0988340465328226,-3.9426007624726727,221.03,11.59,17.28,7.31818,0.007985295108251418,0.10128917447637747,0.01709639149212582
calm_clean,0.05,0.0,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.655517794430196,3.0771287396460654,-5.551702205569804,266.01,12.91,18.7,8.10361,0.007965190873704061,0.08413909227278132,0.01706954613639066
calm_clean,0.05,0.0,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,10.203031206016318,3.1269429305688137,-7.272348793983682,315.39,12.67,19.68,8.73769,0.008022262669069974,0.06713914111874084,0.017139141118740826
calm_clean,0.05,0.0,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.411419219016828,3.47645984648542,-9.764360780983173,369.6,13.02,20.79,9.08789,0.007950723035524748,0.049999999999999295,0.017111252250974093
calm_noisy,0.2,0.004,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.11622510268485016,0.2995611584106053,-0.7576348973151498,0.96,0.58,0.73,0.43693,0.07967305406314525,0.9003812796990707,0.14007625593981413
calm_noisy,0.2,0.002,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.16501079230847665,0.3626415543605398,-0.9732092076915234,1.06,0.66,0.84,0.56911,0.08003415975405741,0.9021371154864366,0.14042742309728726
calm_noisy,0.2,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.15222819736092133,0.3209654397595891,-1.0134918026390787,1.14,0.76,0.91,0.58286,0.07993355770849506,0.9026321802932026,0.1405264360586405
calm_noisy,0.15,0.004,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.2710717350193299,0.38535326599469344,-1.1273282649806702,1.69,0.97,1.16,0.6992,0.0799098590501623,0.8511719643695915,0.14023439287391828
calm_noisy,0.2,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.08179405053723159,0.2766763933688141,-1.1432659494627684,1.09,0.73,0.85,0.61253,0.07981504486127702,0.9038220149663093,0.14076440299326187
calm_noisy,0.1,0.002,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.30729868926239345,0.4646531606712331,-1.1550213107376066,2.2,0.78,1.24,0.73116,0.07997013437652951,0.8041550684318058,0.14083101368636114
calm_noisy,0.15,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.24636605242985893,0.441858178470514,-1.224253947570141,1.66,0.94,1.19,0.73531,0.08007531862840969,0.8525598272270877,0.14051196544541752
calm_noisy,0.1,0.004,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.3791848583073627,0.49495198542904456,-1.2346351416926373,2.53,1.07,1.4,0.80691,0.07989092684201712,0.8015239235953027,0.14030478471906055
calm_noisy,0.15,0.0,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.1,50,0.23115810563501513,0.4708570884201184,-1.2681618943649848,1.64,0.92,1.17,0.74966,0.07977385344551059,0.8530976262238346,0.14061952524476692
